epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.2714,3.0284,5.72216,4.35484,0,0,0,0,3.37869,5.96492,4.15917,0,0,0
2,5.79714,2.9987,5.61746,4.236,0,0,0,0,3.37877,5.96482,4.15935,1.16117e-06,1.16117e-06,1.16117e-06
3,8.49927,3.01218,5.84613,4.18891,0,0,0,0,3.37884,5.96478,4.15953,2.155e-06,2.155e-06,2.155e-06
4,11.2179,2.88049,5.54937,4.21178,0,0,0,0,3.37891,5.96484,4.15967,2.84155e-06,2.84155e-06,2.84155e-06
5,13.8773,3.13022,5.90386,4.20245,0,0,0,0,3.37898,5.96486,4.15983,3.13191e-06,3.13191e-06,3.13191e-06
6,16.894,2.66372,5.52394,4.21523,0,0,0,0,3.37905,5.96492,4.15996,3.00475e-06,3.00475e-06,3.00475e-06
7,19.8401,2.96288,5.56031,4.21132,0,0,0,0,3.37911,5.96494,4.16009,2.51354e-06,2.51354e-06,2.51354e-06
8,22.7264,2.98039,5.76604,4.22026,0,0,0,0,3.3792,5.96475,4.16023,1.78301e-06,1.78301e-06,1.78301e-06
9,25.2678,2.82741,5.80908,4.28114,0,0,0,0,3.3792,5.96475,4.16023,9.95188e-07,9.95188e-07,9.95188e-07
10,28.0937,2.87071,5.8576,4.22081,0,0,0,0,3.37934,5.96502,4.16049,3.66571e-07,3.66571e-07,3.66571e-07
